hour,latitude,longitude,space_fold,time_fold
2020-12-01 02:00:00,81.25,-62.25,2,0
2020-12-01 02:00:00,76.75,-67.0,2,0
2020-12-01 02:00:00,72.5,-70.0,2,0
2020-12-01 02:00:00,68.25,-72.0,2,0
2020-12-01 02:00:00,64.0,-73.75,2,0
2020-12-01 02:00:00,59.75,-75.0,2,0
2020-12-01 02:00:00,55.75,-76.25,0,0
2020-12-01 02:00:00,51.5,-77.5,0,0
2020-12-01 02:00:00,47.5,-78.5,0,0
2020-12-01 02:00:00,43.5,-79.25,0,0
2020-12-01 02:00:00,39.5,-80.25,0,0
2020-12-01 02:00:00,35.25,-81.0,0,0
2020-12-01 02:00:00,31.25,-81.75,0,0
2020-12-01 02:00:00,27.25,-82.75,0,0
2020-12-01 02:00:00,23.0,-83.5,0,0
2020-12-01 02:00:00,19.0,-84.25,0,0
2020-12-01 02:00:00,15.0,-85.25,0,0
2020-12-01 02:00:00,10.75,-86.0,0,0
2020-12-01 02:00:00,6.75,-87.0,0,0
2020-12-01 02:00:00,2.75,-88.0,0,0
2020-12-01 02:00:00,-1.5,-88.75,0,0
2020-12-01 02:00:00,-5.75,-90.0,0,0
2020-12-01 02:00:00,-10.0,-91.0,0,0
2020-12-01 03:00:00,-14.25,-92.5,0,0
2020-12-01 05:00:00,78.0,-114.5,2,0
2020-12-01 05:00:00,73.5,-117.75,2,0
2020-12-01 05:00:00,69.25,-120.0,2,0
2020-12-01 05:00:00,62.75,-124.25,2,0
2020-12-01 05:00:00,59.0,-125.25,2,0
2020-12-01 05:00:00,55.5,-126.0,2,0
2020-12-01 05:00:00,52.0,-126.5,2,0
2020-12-01 05:00:00,48.25,-126.75,1,0
2020-12-01 05:00:00,44.5,-127.5,1,0
2020-12-01 05:00:00,40.5,-128.25,1,0
2020-12-01 06:00:00,36.25,-129.25,1,0
2020-12-01 06:00:00,32.25,-130.0,1,0
2020-12-01 06:00:00,28.25,-130.75,1,0
2020-12-01 06:00:00,24.0,-131.5,1,0
2020-12-01 06:00:00,20.0,-132.5,1,0
2020-12-01 06:00:00,16.0,-133.25,1,0
2020-12-01 06:00:00,12.0,-134.25,1,0
2020-12-01 06:00:00,7.75,-135.0,1,0
2020-12-01 06:00:00,3.75,-136.0,1,0
2020-12-01 06:00:00,-0.5,-137.0,1,0
2020-12-01 06:00:00,-4.75,-138.0,1,0
2020-12-01 06:00:00,-9.0,-139.0,1,0
2020-12-01 06:00:00,-13.25,-140.25,1,0
2020-12-01 06:00:00,-17.75,-141.75,1,0
2020-12-01 07:00:00,80.5,-135.5,2,0
2020-12-01 07:00:00,76.25,-139.75,2,0
2020-12-01 07:00:00,72.0,-142.75,2,0
2020-12-01 07:00:00,67.75,-144.75,2,0
2020-12-01 07:00:00,63.5,-146.5,2,0
2020-12-01 07:00:00,59.25,-147.75,2,0
2020-12-01 07:00:00,55.0,-149.0,1,0
2020-12-01 07:00:00,51.0,-149.75,1,0
2020-12-01 07:00:00,47.0,-151.0,1,0
2020-12-01 07:00:00,43.0,-152.0,1,0
2020-12-01 07:00:00,38.75,-152.75,1,0
2020-12-01 07:00:00,34.75,-153.5,1,0
2020-12-01 07:00:00,30.75,-154.5,1,0
2020-12-01 07:00:00,22.75,-156.0,1,0
2020-12-01 09:00:00,79.0,-161.75,2,0
2020-12-01 09:00:00,74.75,-165.5,2,0
2020-12-01 09:00:00,67.75,-170.75,2,0
2020-12-01 09:00:00,64.25,-172.0,2,0
2020-12-01 09:00:00,60.5,-173.25,1,0
2020-12-01 09:00:00,57.0,-173.75,1,0
2020-12-01 09:00:00,53.25,-174.0,1,0
2020-12-01 09:00:00,49.5,-174.5,1,0
2020-12-01 09:00:00,45.5,-175.5,1,0
2020-12-01 09:00:00,41.5,-176.5,1,0
2020-12-01 09:00:00,37.5,-177.5,1,0
2020-12-01 09:00:00,33.5,-178.25,1,0
2020-12-01 09:00:00,25.25,-179.75,1,0
2020-12-01 10:00:00,77.25,172.5,2,0
2020-12-01 10:00:00,73.0,169.5,2,0
2020-12-01 10:00:00,68.75,167.25,2,0
2020-12-01 10:00:00,64.5,165.75,2,0
2020-12-01 10:00:00,60.25,164.25,1,0
2020-12-01 10:00:00,56.25,163.0,1,0
2020-12-01 10:00:00,52.0,162.0,1,0
2020-12-01 10:00:00,48.0,161.0,1,0
2020-12-01 10:00:00,44.0,160.0,1,0
2020-12-01 10:00:00,40.0,159.0,1,0
2020-12-01 10:00:00,35.75,158.25,1,0
2020-12-01 10:00:00,31.75,157.5,1,0
2020-12-01 10:00:00,27.75,156.5,1,0
2020-12-01 10:00:00,23.75,155.75,1,0
2020-12-01 10:00:00,19.5,155.0,1,0
2020-12-01 10:00:00,15.5,154.0,1,0
2020-12-01 10:00:00,11.5,153.25,1,0
2020-12-01 10:00:00,7.25,152.5,1,0
2020-12-01 10:00:00,3.25,151.5,1,0
2020-12-01 10:00:00,-1.0,150.5,1,0
2020-12-01 11:00:00,-5.25,149.5,1,0
2020-12-01 11:00:00,-9.5,148.25,1,0
2020-12-01 11:00:00,-13.75,147.0,1,0
2020-12-01 12:00:00,80.0,151.25,2,0
2020-12-01 12:00:00,75.75,147.25,2,0
2020-12-01 12:00:00,71.5,144.25,2,0
2020-12-01 12:00:00,67.25,142.5,2,0
2020-12-01 12:00:00,63.0,141.0,2,0
2020-12-01 12:00:00,58.75,139.5,2,0
2020-12-01 12:00:00,52.5,137.75,1,0
2020-12-01 12:00:00,48.75,136.5,1,0
2020-12-01 12:00:00,45.0,135.25,1,0
2020-12-01 12:00:00,41.25,134.5,1,0
2020-12-01 12:00:00,37.5,134.0,1,0
2020-12-01 12:00:00,34.0,133.5,1,0
2020-12-01 12:00:00,30.25,132.75,1,0
2020-12-01 12:00:00,26.25,132.0,1,0
2020-12-01 12:00:00,14.25,129.25,1,0
2020-12-01 17:00:00,79.5,78.25,2,0
2020-12-01 17:00:00,75.25,74.0,2,0
2020-12-01 17:00:00,70.75,71.75,2,0
2020-12-01 17:00:00,66.5,69.75,2,0
2020-12-01 17:00:00,62.25,68.25,2,0
2020-12-01 17:00:00,58.25,67.0,2,0
2020-12-01 17:00:00,54.25,66.0,2,0
2020-12-01 17:00:00,50.0,64.75,3,0
2020-12-01 17:00:00,46.0,63.75,3,0
2020-12-01 17:00:00,41.75,63.0,3,0
2020-12-01 17:00:00,37.75,62.25,3,0
2020-12-01 17:00:00,33.75,61.25,3,0
2020-12-01 17:00:00,30.25,60.75,3,0
2020-12-01 17:00:00,25.75,59.5,3,0
2020-12-01 17:00:00,21.5,58.75,3,0
2020-12-01 17:00:00,17.75,58.0,3,0
2020-12-01 17:00:00,13.5,57.0,3,0
2020-12-01 17:00:00,9.5,56.25,3,0
2020-12-01 17:00:00,4.75,54.25,3,0
2020-12-01 17:00:00,1.25,54.5,3,0
2020-12-01 17:00:00,-3.0,53.25,3,0
2020-12-01 17:00:00,-7.25,52.0,3,0
2020-12-01 17:00:00,-11.5,51.0,3,0
2020-12-01 17:00:00,-15.5,50.0,3,0
2020-12-01 18:00:00,78.0,52.25,2,0
2020-12-01 18:00:00,73.5,49.0,2,0
2020-12-01 18:00:00,69.25,46.75,2,0
2020-12-01 18:00:00,65.0,45.0,2,0
2020-12-01 18:00:00,60.75,43.75,2,0
2020-12-01 18:00:00,56.75,42.5,2,0
2020-12-01 18:00:00,52.5,41.25,3,0
2020-12-01 18:00:00,48.5,40.5,3,0
2020-12-01 18:00:00,44.5,39.25,3,0
2020-12-01 18:00:00,40.5,38.5,3,0
2020-12-01 18:00:00,36.25,37.75,3,0
2020-12-01 18:00:00,32.25,36.75,3,0
2020-12-01 18:00:00,28.25,35.75,3,0
2020-12-01 18:00:00,24.25,35.0,3,0
2020-12-01 18:00:00,20.0,34.25,3,0
2020-12-01 18:00:00,16.0,33.5,3,0
2020-12-01 19:00:00,12.0,32.5,3,0
2020-12-01 19:00:00,7.75,31.75,3,0
2020-12-01 19:00:00,3.75,30.75,3,0
2020-12-01 19:00:00,-4.75,28.75,3,0
2020-12-01 19:00:00,-13.25,26.5,3,0
2020-12-01 19:00:00,-17.75,25.0,3,0
2020-12-01 20:00:00,80.75,31.25,2,0
2020-12-01 20:00:00,76.25,26.75,2,0
2020-12-01 20:00:00,72.0,23.75,2,0
2020-12-01 20:00:00,67.75,22.0,2,0
2020-12-01 20:00:00,63.5,20.25,2,0
2020-12-01 20:00:00,59.25,19.0,2,0
2020-12-01 20:00:00,55.0,17.75,2,0
2020-12-01 20:00:00,51.0,17.0,2,0
2020-12-01 20:00:00,47.0,16.0,3,0
2020-12-01 20:00:00,43.0,14.75,3,0
2020-12-01 20:00:00,39.0,14.0,3,0
2020-12-01 20:00:00,34.75,13.0,3,0
2020-12-01 20:00:00,30.75,12.25,3,0
2020-12-01 20:00:00,26.75,11.5,3,0
2020-12-01 20:00:00,22.75,10.5,3,0
2020-12-01 20:00:00,18.5,9.75,3,0
2020-12-01 20:00:00,14.5,8.75,3,0
2020-12-01 20:00:00,10.5,8.0,3,0
2020-12-01 20:00:00,6.25,7.25,3,0
2020-12-01 20:00:00,2.25,6.25,3,0
2020-12-01 20:00:00,-2.0,5.25,3,0
2020-12-01 20:00:00,-6.25,4.0,3,0
2020-12-01 20:00:00,-10.5,3.0,3,0
2020-12-01 20:00:00,-15.0,1.75,3,0
2020-12-01 21:00:00,79.0,5.0,2,0
2020-12-01 21:00:00,74.75,1.5,2,0
2020-12-01 21:00:00,70.25,-1.0,2,0
2020-12-01 21:00:00,66.0,-3.0,2,0
2020-12-01 22:00:00,62.0,-4.25,2,0
2020-12-01 22:00:00,57.75,-5.75,2,0
2020-12-01 22:00:00,53.75,-6.75,2,0
2020-12-01 22:00:00,49.5,-7.75,2,0
